source,group,id,name,perfmon,zabbix_official,zabbix_perf_counter_en,jsonpath,description
os,CPU,os.cpu.util,Загрузка CPU,\Processor Information(_Total)\% Processor Time,"system.cpu.util"",","perf_counter_en[""\Processor Information(_Total)\% Processor Time""]","$.values[""os.cpu.util""]","Доля времени, когда процессоры были заняты. Основной индикатор нагрузки ОС."
os,CPU,os.cpu.privileged,CPU privileged time,\Processor Information(_Total)\% Privileged Time,"perf_counter_en[""\\Processor Information(_Total)\\% Privileged Time""]","perf_counter_en[""\Processor Information(_Total)\% Privileged Time""]","$.values[""os.cpu.privileged""]","Время в режиме ядра: драйверы, DPC, прерывания. Высокое значение при умеренной пользовательской нагрузке — признак проблем ядра/ввода-вывода."
os,CPU,os.cpu.user,CPU user time,\Processor Information(_Total)\% User Time,"perf_counter_en[""\\Processor Information(_Total)\\% User Time""]","perf_counter_en[""\Processor Information(_Total)\% User Time""]","$.values[""os.cpu.user""]","Время в пользовательском режиме — обычно SQL Server, приложения."
os,CPU,os.cpu.interrupt,CPU interrupt time,\Processor Information(_Total)\% Interrupt Time,"perf_counter_en[""\\Processor Information(_Total)\\% Interrupt Time""]","perf_counter_en[""\Processor Information(_Total)\% Interrupt Time""]","$.values[""os.cpu.interrupt""]",Время на аппаратные прерывания. Выше ~20% часто указывает на сетевой или дисковый адаптер.
os,CPU,os.cpu.dpc,CPU DPC time,\Processor Information(_Total)\% DPC Time,"perf_counter_en[""\\Processor Information(_Total)\\% DPC Time""]","perf_counter_en[""\Processor Information(_Total)\% DPC Time""]","$.values[""os.cpu.dpc""]",Отложенные вызовы процедур. Рост вместе с interrupt time — сеть или диск.
os,CPU,os.cpu.queue,Processor Queue Length,\System\Processor Queue Length,"perf_counter_en[""\\System\\Processor Queue Length""]","perf_counter_en[""\System\Processor Queue Length""]","$.values[""os.cpu.queue""]",Потоки в очереди готовых к выполнению. Ориентир: не больше числа ядер × 2.
os,Система,os.system.context_switches,Context Switches/sec,\System\Context Switches/sec,"perf_counter_en[""\\System\\Context Switches/sec""]","perf_counter_en[""\System\Context Switches/sec""]","$.values[""os.system.context_switches""]",Переключения контекста. Резкий рост при высокой нагрузке — конкуренция потоков.
os,Система,os.system.threads,Threads,\System\Threads,"perf_counter_en[""\\System\\Threads""]","perf_counter_en[""\System\Threads""]","$.values[""os.system.threads""]",Число потоков всех процессов.
os,Память,os.memory.available_mbytes,Available MBytes,\Memory\Available MBytes,"vm.memory.size[available]"",","perf_counter_en[""\Memory\Available MBytes""]","$.values[""os.memory.available_mbytes""]","Свободная физическая память. Для SQL Server оставляйте запас, иначе начнётся paging."
os,Память,os.memory.committed_pct,% Committed Bytes In Use,\Memory\% Committed Bytes In Use,"vm.memory.util"",","perf_counter_en[""\Memory\% Committed Bytes In Use""]","$.values[""os.memory.committed_pct""]",Доля commit charge от лимита. Рост к 100% — риск нехватки commit limit.
os,Память,os.memory.pages_sec,Pages/sec,\Memory\Pages/sec,"perf_counter_en[""\\Memory\\Pages/sec""]","perf_counter_en[""\Memory\Pages/sec""]","$.values[""os.memory.pages_sec""]",Жёсткие page fault: чтение/запись страниц на диск. Высокое значение — нехватка RAM.
os,Память,os.memory.page_faults_sec,Page Faults/sec,\Memory\Page Faults/sec,"perf_counter_en[""\\Memory\\Page Faults/sec""]","perf_counter_en[""\Memory\Page Faults/sec""]","$.values[""os.memory.page_faults_sec""]","Все page fault, включая soft. Сами по себе не страшны; смотрите Pages/sec."
os,Память,os.memory.pool_nonpaged,Pool Nonpaged Bytes,\Memory\Pool Nonpaged Bytes,"perf_counter_en[""\\Memory\\Pool Nonpaged Bytes""]","perf_counter_en[""\Memory\Pool Nonpaged Bytes""]","$.values[""os.memory.pool_nonpaged""]",Невыгружаемый пул ядра. Постоянный рост — возможная утечка драйвера.
os,Память,os.memory.free_pte,Free System Page Table Entries,\Memory\Free System Page Table Entries,"perf_counter_en[""\\Memory\\Free System Page Table Entries""]","perf_counter_en[""\Memory\Free System Page Table Entries""]","$.values[""os.memory.free_pte""]",Свободные PTE. Ниже 5000 — классический признак утечки/исчерпания.
os,Память,os.paging.usage,Paging File % Usage,\Paging File(_Total)\% Usage,"perf_counter_en[""\\Paging File(_Total)\\% Usage""]","perf_counter_en[""\Paging File(_Total)\% Usage""]","$.values[""os.paging.usage""]",Заполнение pagefile. Высокое значение вместе с Pages/sec — нехватка RAM.
os,Диск,os.disk.reads_sec,Disk Reads/sec (_Total),\PhysicalDisk(_Total)\Disk Reads/sec,"perf_counter_en[""\\PhysicalDisk({#DEVNAME})\\Disk Reads/sec"",60]","perf_counter_en[""\PhysicalDisk(_Total)\Disk Reads/sec"",60]","$.values[""os.disk.reads_sec""]",Чтения с физических дисков. Для SQL смотрите вместе с Page reads/sec.
os,Диск,os.disk.writes_sec,Disk Writes/sec (_Total),\PhysicalDisk(_Total)\Disk Writes/sec,"perf_counter_en[""\\PhysicalDisk({#DEVNAME})\\Disk Writes/sec"",60]","perf_counter_en[""\PhysicalDisk(_Total)\Disk Writes/sec"",60]","$.values[""os.disk.writes_sec""]",Записи на физические диски.
os,Диск,os.disk.queue,Current Disk Queue Length,\PhysicalDisk(_Total)\Current Disk Queue Length,"perf_counter_en[""\\PhysicalDisk({#DEVNAME})\\Current Disk Queue Length"",60]","perf_counter_en[""\PhysicalDisk(_Total)\Current Disk Queue Length"",60]","$.values[""os.disk.queue""]",Текущая очередь диска. Длительная очередь > числа шпинделей/очереди SSD — насыщение.
